date_time,temperature
15:48.2,23.812
15:55.0,23.812
16:21.2,23.812
16:28.0,23.812
16:35.7,23.812
16:42.5,23.812
16:49.3,23.812
16:56.1,23.812
17:03.7,23.812
17:10.5,23.812
17:17.3,23.812
17:24.1,23.812
17:31.8,23.812
17:38.6,23.812
17:45.4,23.812
17:52.2,23.812
17:59.0,23.812
18:05.8,23.812
18:12.6,23.812
18:19.4,23.812
18:26.2,23.812
18:33.0,23.812
18:39.8,23.75
18:46.6,23.75
18:53.4,23.75
19:00.2,23.75
19:07.0,23.75
19:13.8,23.75
19:20.6,23.75
19:27.4,23.75
19:34.2,23.75
19:41.0,23.75
19:47.8,23.75
19:54.6,23.75
20:01.4,23.75
20:08.2,23.75
20:15.0,23.75
20:21.8,23.75
20:28.6,23.75
20:35.4,23.75
20:42.2,23.75
20:49.0,23.75
20:55.8,23.75
21:02.6,23.75
21:09.4,23.75
21:16.2,23.75
21:23.0,23.75
21:29.8,23.75
21:36.6,23.75
21:43.4,23.75
21:50.2,23.75
21:57.0,23.75
22:03.8,23.75
22:10.6,23.687
22:17.4,23.75
22:24.2,23.75
22:31.0,23.75
22:37.8,23.75
22:44.6,23.687
22:51.4,23.687
22:58.2,23.687
23:05.0,23.687
23:11.8,23.687
23:18.6,23.687
23:25.4,23.687
23:32.2,23.687
23:39.0,23.687
23:45.8,23.687
23:52.6,23.687
23:59.4,23.687
24:07.1,23.687
24:13.9,23.687
24:20.7,23.687
24:27.5,23.687
24:34.3,23.687
24:41.1,23.687
24:47.9,23.687
24:54.7,23.687
25:01.5,23.687
25:08.3,23.687
25:15.1,23.687
25:21.9,23.687
25:30.5,23.687
25:37.3,23.687
25:44.1,23.687
25:51.7,23.687
25:58.5,23.687
26:06.2,23.687
26:13.0,23.687
26:19.8,23.687
26:26.6,23.687
26:33.4,23.687
26:40.2,23.625
26:47.0,23.625
26:53.8,23.687
27:00.6,23.625
27:07.4,23.625
27:14.2,23.625
27:21.0,23.625
27:27.8,23.625
27:34.6,23.625
27:41.4,23.625
27:48.2,23.625
27:55.0,23.625
28:01.8,23.625
28:08.6,23.625
28:15.4,23.625
28:22.2,23.625
28:29.0,23.625
28:35.8,23.625
28:42.6,23.625
28:49.4,23.625
28:56.2,23.625
29:03.0,23.625
29:09.8,23.625
29:16.6,23.625
29:23.4,23.625
29:30.2,23.625
29:37.0,23.625
29:43.8,23.625
29:50.6,23.625
29:57.4,23.625
30:04.2,23.625
30:11.0,23.625
30:17.8,23.625
30:24.6,23.562
30:31.4,23.625
30:38.2,23.562
30:45.0,23.625
30:51.8,23.625
30:58.6,23.625
31:05.4,23.562
31:12.2,23.562
31:19.0,23.562
31:25.8,23.562
31:32.6,23.562
31:39.4,23.562
31:46.2,23.562
31:53.0,23.562
31:59.8,23.562
32:06.6,23.562
32:13.4,23.562
32:20.2,23.562
32:27.0,23.562
32:33.8,23.562
32:40.6,23.562
32:47.4,23.562
32:54.2,23.562
33:01.9,23.562
33:08.7,23.562
33:15.5,23.562
33:22.3,23.562
33:29.1,23.562
33:35.9,23.562
33:42.7,23.562
33:49.5,23.562
33:56.3,23.562
34:03.1,23.562
34:09.9,23.562
34:16.7,23.562
34:23.5,23.562
34:30.3,23.562
34:37.1,23.562
34:43.9,23.562
34:50.7,23.562
34:57.5,23.562
35:04.3,23.562
35:11.1,23.5
35:17.9,23.5
35:24.7,23.562
35:31.5,23.5
35:38.3,23.5
35:45.1,23.5
35:51.9,23.5
35:58.7,23.5
36:05.5,23.5
36:12.3,23.5
36:19.1,23.5
36:25.9,23.5
36:32.7,23.5
36:39.5,23.5
36:46.3,23.5
36:53.1,23.5
36:59.9,23.5
37:06.7,23.5
37:13.5,23.5
37:20.3,23.5
37:27.1,23.5
37:33.9,23.5
37:40.7,23.5
37:47.5,23.5
37:54.3,23.5
38:01.1,23.5
38:07.9,23.5
38:14.8,23.5
38:21.6,23.5
38:28.4,23.5
38:35.3,23.5
38:42.1,23.5
38:48.9,23.5
38:55.7,23.437
39:02.5,23.5
39:09.3,23.437
39:16.2,23.5
39:23.0,23.437
39:29.8,23.5
39:36.7,23.437
39:43.5,23.5
39:50.3,23.437
39:57.2,23.437
40:04.0,23.437
40:10.8,23.437
40:17.7,23.437
40:24.5,23.437
40:31.3,23.437
40:38.1,23.437
40:44.9,23.437
40:51.7,23.437
40:58.6,23.437
41:05.4,23.437
41:12.2,23.437
41:19.1,23.437
